SBSMID	Unigene	active	Molecule
SBSM1413	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM350269	DNMT3B	false	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM477663	DNMT3B	true	Nc1nc(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM482949	DNMT3B	false	CSc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483116	DNMT3B	false	Nc1nc(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483549	DNMT3B	true	Cc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM484929	DNMT3B	false	NC(CCSCC1OC(n2cnc3cncnc32)C(O)C1O)C(=O)O
SBSM485376	DNMT3B	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM7711	DNMT3B	false	NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM9598	DNMT3B	false	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM13008	DNMT3B	false	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
SBSM37539	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM37540	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM477645	DNMT3B	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM483117	DNMT3B	false	CN1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CC1C(=O)O
SBSM483575	DNMT3B	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM481074	DNMT3B	true	Nc1ncnc2c1ccn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM480578	DNMT3B	false	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C1O
SBSM481941	DNMT3B	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)C(O)C2O)CN1
SBSM483257	DNMT3B	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)C(O)C2O)CN1
SBSM483856	DNMT3B	false	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C1O
SBSM28828	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483749	DNMT3B	true	COc1cc(CNc2ncnc3c2ncn3C2OC(CSCCC(N)C(=O)O)C(O)C2O)cc(OC)c1
SBSM481219	DNMT3B	false	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C(O)C1O)C(=O)O
SBSM481962	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C(O)C1O)C(=O)O
SBSM481045	DNMT3B	true	Nc1ncnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483954	DNMT3B	true	Nc1nccc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM485070	DNMT3B	false	Nc1ccnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM13781	DNMT3B	true	CC1OC(CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O
SBSM477877	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CNC2)C(O)C1O
SBSM479868	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(Nc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483670	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCc4ccncc4)ncnc32)C(O)C1O)C(=O)O
SBSM483256	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSC2CCCC2N)C(O)C1O
SBSM49648	DNMT3B	false	Nc1ncnc2c1ncn2C1OC(CSCC2CCCN2)C(O)C1O
SBSM49315	DNMT3B	true	Nc1ncnc2c1ncn2C1OC(CSC2CCNC(C(=O)O)C2)C(O)C1O
SBSM484716	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483574	DNMT3B	true	NC(CCSCC1OC(n2cnc3c(NCCCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM37397	DNMT3B	false	OC(CNCCc1c[nH]c2ccccc12)Cn1c2ccccc2c2ccccc21
SBSM245989	DNMT3B	true	Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1
SBSM10552	DNMT3B	false	NC(CCSCC1OC(n2cnc3c(=O)[nH]cnc32)C(O)C1O)C(=O)O
SBSM122216	DNMT1	true	Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O
SBSM22946	DNMT3A	false	CSc1ccc(OCC(=O)O)cc1C
SBSM23033	DNMT3A	false	Cc1cc(OCC(=O)O)ccc1S(C)(=O)=O
SBSM577	DNMT1	true	CCN(CC)CCNC(=O)c1ccc(N)cc1
SBSM534517	DNMT3A	false	Cc1cc(OCC(=O)O)ccc1S(C)=O
SBSM132391	DNMT1	true	CC(C)(CS(=O)(=O)[O-])NC(=O)CC[N+](C)(C)CCO
SBSM134610	DNMT1	true	COC(=O)/C(C(C)=O)=C(\C=C\C=C\C=C\N(C)C)N(C)C
SBSM10472	DNMT1	false	CN(CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM1413	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM1413	DNMT3A	false	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM350269	DNMT3A	false	CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM477663	DNMT1	true	Nc1nc(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM482949	DNMT1	false	CSc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483116	DNMT1	false	Nc1nc(I)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM483549	DNMT1	true	Cc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM483602	DNMT1	false	COc1nc(N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2n1
SBSM484929	DNMT1	false	NC(CCSCC1OC(n2cnc3cncnc32)C(O)C1O)C(=O)O
SBSM485376	DNMT1	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM7711	DNMT1	false	NCCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM9598	DNMT1	false	NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
SBSM22993	DNMT3A	false	O=C(O)COc1ccc2ccccc2c1
SBSM13008	DNMT1	false	O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O
SBSM323416	DNMT1	false	COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC
SBSM37539	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM37540	DNMT1	true	Nc1ncnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM477645	DNMT1	false	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O
SBSM480574	DNMT1	true	COC(=O)C1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CN1C
SBSM480755	DNMT1	true	COC(=O)C1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CN1
SBSM483117	DNMT1	false	CN1CC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)CC1C(=O)O
SBSM483575	DNMT1	true	Nc1nc(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O
SBSM485273	DNMT1	true	CN1CCC(SCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C1
SBSM150354	DNMT3A	false	COc1ccc(Cl)cc1C(=O)NCCc1ccc(O)cc1
SBSM341307	DNMT1	false	O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccc(O)c3ccccc23)ccc1Cl
SBSM341307	DNMT3A	false	O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccc(O)c3ccccc23)ccc1Cl
SBSM127937	DNMT1	true	O=C(O)Cc1c[nH]c2cccc(O)c12
SBSM10658	DNMT1	true	Nc1ncnc2c1c(Br)cn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM481074	DNMT1	true	Nc1ncnc2c1ccn2C1OC(CSCCC(N)C(=O)O)C(O)C1O
SBSM103569	DNMT1	true	C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)/C=C/CC)C3)c1
SBSM106463	DNMT1	true	C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)/C(C)=C/C)C3)c1
SBSM107636	DNMT1	true	C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C(=C)C)C3)c1
SBSM124872	DNMT1	true	C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)CC)C3)c1
SBSM97671	DNMT1	true	C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)/C=C/C=C/C)C3)c1
SBSM534426	DNMT1	true	C=C(C)/C(O)=N/c1cccc(C2=NOC3(C2)CC(C(=N)O)N(C(=O)CC)C3)c1
SBSM508873	DNMT1	true	O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O
SBSM156675	DNMT1	true	COc1cc(CCc2ccccc2)c(C(=O)O)c(O)c1C/C=C(/C)CCC=C(C)C
SBSM18176	DNMT3A	true	N#C/C(=C/c1ccc(OCc2ccc(C(=O)O)cc2)c(Br)c1)c1cccc(F)c1
SBSM22640	DNMT3A	false	N#C/C(=C/c1ccc(OCc2cccc(C(=O)O)c2)c(Cl)c1)c1cccc(F)c1
SBSM22818	DNMT3A	false	N#C/C(=C/c1ccc(OCc2ccc(C(=O)O)cc2)cc1)c1cccc(F)c1
SBSM22853	DNMT3A	true	CCOc1cc(/C=C(/C#N)c2cccc(F)c2)cc(Cl)c1OCc1ccc(C(=O)O)cc1
SBSM22913	DNMT3A	true	N#C/C(=C/c1ccc(OCc2ccc(F)cc2)c(Br)c1)c1ccc(C(=O)O)cc1
SBSM131758	DNMT1	false	O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1
SBSM99346	DNMT1	true	COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1
SBSM532349	DNMT1	true	COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1
SBSM534522	DNMT3A	true	Cc1c(Cl)cccc1NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(C(=O)O)cc1)N2
SBSM534614	DNMT1	false	O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1
SBSM195187	DNMT1	true	N/C(=N\N=C/c1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-]
SBSM493653	DNMT1	false	CCN(CC)CCOc1ccc2c(c1)C(=NO)c1cc(OCCN(CC)CC)ccc1-2
SBSM137782	DNMT1	true	CCN(CC)CCC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O
SBSM16598	DNMT3A	true	Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cc(Cl)c(OCC(=O)O)c(Cl)c3)C2=O)cc1
SBSM17389	DNMT3A	true	COc1cc(/C=C2\SC(=O)N(CC(=O)Nc3ccc(C)cc3)C2=O)cc(Cl)c1OCC(=O)O
SBSM22879	DNMT3A	false	CCOc1cc(/C=C2\SC(=O)N(CC(=O)Nc3ccc(C)cc3)C2=O)cc(Cl)c1OCC(=O)OC
SBSM22883	DNMT3A	true	COc1cc(/C=C2\SC(=O)N(CC(=O)Nc3cccc(C)c3)C2=O)cc(Cl)c1OCC(=O)O
SBSM65560	DNMT1	true	N=C(N)NCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc([N+](=O)[O-])ccc23)cc1
SBSM114801	DNMT1	true	CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(s/c(=C/c3ccc(OCC(=O)O)cc3)c2=O)=N1
SBSM116246	DNMT1	true	CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(Cl)cc1
SBSM194569	DNMT1	false	CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCC(=O)O)c(OC)c3)c(=O)n2C1c1ccc(Cl)cc1
SBSM534526	DNMT3A	true	CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(Cl)c(OCC(=O)O)c(OC)c3)c(=O)n2C1c1ccccc1Cl
SBSM534514	DNMT3A	true	CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(SC)cc1
SBSM534515	DNMT1	true	CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(Cl)cc1
SBSM534515	DNMT3A	true	CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(Cl)cc1
SBSM534516	DNMT1	true	CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(s/c(=C\c3ccc(OCC(=O)O)cc3)c2=O)=N1
SBSM534516	DNMT3A	true	CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(s/c(=C\c3ccc(OCC(=O)O)cc3)c2=O)=N1
SBSM534527	DNMT3A	true	CCOC(=O)C1=C(C)N=c2s/c(=C\c3cc(Cl)c(OCC(=O)O)c(Cl)c3)c(=O)n2C1c1cccc(OC)c1
SBSM125273	DNMT1	true	CCOc1ccc(/C=N/Nc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1
SBSM126025	DNMT1	true	C=CCOc1ccc(/C=N/Nc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1OC
SBSM129327	DNMT1	true	CSc1ccc(/C=N/Nc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1
SBSM196786	DNMT1	true	COc1ccc(Br)cc1/C=N/Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)O)cc1[N+](=O)[O-]
SBSM480578	DNMT1	false	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C1O
SBSM481941	DNMT1	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)ncnc43)C(O)C2O)CN1
SBSM483257	DNMT1	true	O=C(O)C1CC(SCC2OC(n3cnc4c(NCCc5ccc(-c6ccccc6)cc5)nc(Cl)nc43)C(O)C2O)CN1
SBSM483856	DNMT1	true	OC1C(CSC2CCNC2)OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C1O
SBSM138821	DNMT1	true	Oc1cccc2cc3cccc(O)c3c(O)c12
SBSM22860	DNMT3A	true	CCOC(=O)COc1c(Cl)cc(/C=C2/S/C(=N/c3ccc(F)cc3)NC2=O)cc1OCC
SBSM22910	DNMT3A	true	CCOc1cc(/C=C2/S/C(=N\c3ccccc3)NC2=O)cc(I)c1OCC(=O)O
SBSM22972	DNMT3A	true	COc1cc(/C=C2/S/C(=N\c3cccc(Br)c3)NC2=O)ccc1OCC(=O)O
SBSM28828	DNMT1	false	NC(CCSCC1OC(n2cnc3c(NCc4ccccc4)ncnc32)C(O)C1O)C(=O)O
SBSM483749	DNMT1	false	COc1cc(CNc2ncnc3c2ncn3C2OC(CSCCC(N)C(=O)O)C(O)C2O)cc(OC)c1
SBSM22678	DNMT1	true	O=C(N/N=C/c1ccc(F)cc1)c1cc(-c2ccco2)nc2ccccc12
SBSM22708	DNMT1	true	O=C(N/N=C/c1cccc(F)c1)c1cc(-c2ccco2)nc2ccccc12
SBSM496443	DNMT1	true	O=C(O)c1ccccc1/C=N/NC(=O)c1cc(-c2ccco2)nc2ccccc12
SBSM130955	DNMT1	true	Cc1ccc(S(=O)(=O)N2C(c3ccc(C(C)C)cc3)CC=C(C(=O)O)C2c2ccc(C(C)(C)C)cc2)cc1
SBSM115113	DNMT1	false	CC(C)(C)CC(=O)Nc1cccc2c1CCCC2
SBSM138014	DNMT1	false	CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21
SBSM179917	DNMT1	true	COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1
SBSM120979	DNMT1	true	O=C(O)C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12
SBSM527319	DNMT1	true	O=C(O)C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12
SBSM183271	DNMT1	false	CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1
SBSM183272	DNMT1	false	COc1ccc(CC2=NOC3CN(C)CC23)cc1
SBSM23786	DNMT1	true	CC[N+](C)(CC)CCCCOc1ccc2c(c1)C(=O)c1cc(OCCCC[N+](C)(CC)CC)ccc1-2
SBSM15329	DNMT1	true	O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(-c2ccncc2)s1
SBSM466334	DNMT1	false	CCN(CC)CCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12
SBSM497657	DNMT1	false	CCN(CC)CCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12
SBSM82892	DNMT1	true	c1ccc2c(c1)C1=NCCN1c1ccccc1-2
SBSM108144	DNMT1	true	CCN(CC)c1ccc(NC(=O)CCS(=O)(=O)c2ccc(Br)cc2)c(C)c1
SBSM19555	DNMT1	true	COC(=O)c1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)cc1
SBSM22979	DNMT3A	true	CCc1ccc(/N=C2/NC(=O)/C(=C/c3ccc(OCC(=O)O)c(Cl)c3)S2)cc1
SBSM50696	DNMT3A	true	COC(=O)COc1ccc(/C=C2\S/C(=N\c3ccc(F)cc3)NC2=O)cc1
SBSM18225	DNMT1	true	CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C
SBSM137388	DNMT1	true	C/C(=C/CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3)C(=O)O
SBSM534727	DNMT1	true	C/C(=C/CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3)C(=O)O
SBSM117759	DNMT1	true	Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1
SBSM119365	DNMT1	false	CCN(CC(=O)Nc1c(F)cccc1F)C(=O)c1cccc(-n2cccc2)c1
SBSM118110	DNMT1	true	CCOC(=O)C1CCCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)C1
SBSM99844	DNMT1	true	COC(=O)C1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1
SBSM104432	DNMT1	true	O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1
SBSM136320	DNMT1	true	O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3ccccc3)C2=O)cc1
SBSM111269	DNMT1	true	O=C1CCCC2=C1C(c1ccco1)Nc1ccc3ccccc3c12
SBSM531575	DNMT1	true	O=C1CCCC2=C1C(c1ccco1)Nc1ccc3ccccc3c12
SBSM104510	DNMT1	true	Cc1ccccc1NC(=O)CN1C(=O)N/C(=C\c2cccn2-c2cccc(C(=O)O)c2)C1=O
SBSM217499	DNMT1	true	Cc1ccc(NC(=O)CN2C(=O)N/C(=C\c3cccn3-c3cccc(C(=O)O)c3)C2=O)cc1
SBSM100476	DNMT1	true	CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1
SBSM16556	DNMT3A	true	N#C/C(=C\c1ccc(OCc2ccc(Cl)cc2)cc1)C(=O)Nc1cccc(C(=O)O)c1
SBSM481219	DNMT1	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)C(O)C1O)C(=O)O
SBSM481962	DNMT1	true	NC(CCSCC1OC(n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)C(O)C1O)C(=O)O
SBSM229846	DNMT1	false	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C
