CMPD_CHEMBLID	SMILES	PCHEMBL_VALUE
CHEMBL3699774	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)C(=O)N	7.44
CHEMBL3699777	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cccnc6	6.89
CHEMBL3699776	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6ccn[nH]6	6.72
CHEMBL3699775	Cc1cc(cn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5)c6cn[nH]c6	7
CHEMBL1258551	Cc1ccc(C[C@@H](N)C(=O)N2CCN(CC2)c3ncnc4ccccc34)cc1	6.2
CHEMBL3672485	Cc1ccc(cc1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	6.56
CHEMBL3701741	Cc1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c1	8.82
CHEMBL3699687	Cc1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.64
CHEMBL228545	Cc1cccc(c1)c2c[nH]c(\C=C\3/C(=O)Nc4ccc(NC(=O)N)cc34)c2	7.43
CHEMBL3672055	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7ccc(F)cc7F)CC3	6.97
CHEMBL3672052	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7cccc(F)c7)CC3	7.43
CHEMBL3672057	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccc(F)cc7)C8CC8)CC3	7.34
CHEMBL3672063	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6ncc(Br)n6cc5c7ccc(F)cc7)CC3	8.15
CHEMBL3672060	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nccn6cc5c7ccc(F)cc7)CC3	7.77
CHEMBL3672065	Cc1cccc(n1)c2nc(n[nH]2)C3CCN(Cc4ccc(cc4)c5nc6nccn6cc5c7ccccc7F)CC3	7.77
CHEMBL3672068	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)c(Br)n6cc5c7ccccc7)C3	8.52
CHEMBL3672038	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)cn6cc5c7ccccc7)C3	7.8
CHEMBL3672046	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6c(C)c5c7ccccc7)C3	8.1
CHEMBL3672036	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(C)nn6cc5c7ccc(F)cc7F)C3	7.38
CHEMBL3672039	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccc(F)cc7)C8CC8)C3	7.57
CHEMBL3672041	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6nc(nn6cc5c7ccccc7)C8CC8)C3	8
CHEMBL3672026	Cc1cccc(n1)c2nc(n[nH]2)C3CN(Cc4ccc(cc4)c5nc6ncc(C)n6cc5c7ccccc7)C3	7.75
CHEMBL3703170	Cc1cccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n12	5.96
CHEMBL3699668	Cc1ccccc1c2ccn3c(c4ccccc4)c(nc3n2)c5ccc(cc5)C6(N)CCC6	7.03
CHEMBL3699685	Cc1cccn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	6.56
CHEMBL3699684	Cc1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	6.62
CHEMBL3699750	Cc1ccn2c(c3ccccc3)c(nc2c1Cl)c4ccc(cc4)C5(N)CCC5	6.68
CHEMBL3699665	Cc1ccn2c(c3ccccc3)c(nc2n1)c4ccc(cc4)C5(N)CCC5	6.82
CHEMBL3944710	Cc1cn2c(c3ccccc3)c(nc2c(C)n1)c4ccc(cc4)C5(N)CCC5	6.66
CHEMBL3672067	Cc1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7ccccn7)cc4	7.33
CHEMBL3672037	Cc1cn2cc(c3ccccc3)c(nc2n1)c4ccc(CN5CCC(CC5)c6cnc7ccccc7n6)cc4	6.59
CHEMBL3639713	Cc1cn2nc(c3ccc(cc3)C4(N)CCC4)c(cc2n1)c5ccccc5	4.7
CHEMBL3701764	Cc1cnc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	9.07
CHEMBL3672479	Cc1cnc2cc(c3ccccc3)c(nn12)c4ccc(cc4)C5(N)CCC5	5.76
CHEMBL3699669	Cc1cnc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.53
CHEMBL379300	Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3	7.52
CHEMBL594933	Cc1n[nH]c2cnc(cc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6	8.22
CHEMBL603197	Cc1n[nH]c2cnc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6	7.51
CHEMBL606467	Cc1n[nH]c2ncc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c(nc3c6cocc6)C#N	6.6
CHEMBL596290	Cc1n[nH]c2ncc(nc12)c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3c6cocc6	7.41
CHEMBL228224	Cc1n[nH]cc1c2ccc(CCN)cc2	5.28
CHEMBL228114	Cc1n[nH]cc1c2ccccc2	4.1
CHEMBL594523	Cc1nc(c2cocc2)c(cc1OC[C@@H](N)Cc3c[nH]c4ccccc34)c5cnc6[nH]nc(C)c6n5	7.2
CHEMBL265194	Cc1nc2c(ncnc2[nH]1)N3CCC(N)CC3	3.96
CHEMBL3672511	Cc1nc2cc(c3ccccc3)c(nn2c1\C=C\C(=O)N)c4ccc(cc4)C5(N)CCC5	4.7
CHEMBL3672513	Cc1nc2cc(c3ccccc3)c(nn2c1C=C)c4ccc(cc4)C5(N)CCC5	4.78
CHEMBL3672504	Cc1nc2cc(c3ccccc3)c(nn2c1c4ccc(cc4)C(=O)N)c5ccc(cc5)C6(N)CCC6	5.32
CHEMBL3672501	Cc1nc2cc(c3ccccc3)c(nn2c1c4ccc(F)c(CO)c4)c5ccc(cc5)C6(N)CCC6	4.78
CHEMBL3672503	Cc1nc2cc(c3ccccc3)c(nn2c1c4ccc(F)cc4)c5ccc(cc5)C6(N)CCC6	5.29
CHEMBL3672500	Cc1nc2cc(c3ccccc3)c(nn2c1c4cccc(c4)C(=O)N)c5ccc(cc5)C6(N)CCC6	4.78
CHEMBL3672505	Cc1nc2cc(c3ccccc3)c(nn2c1c4ccn[nH]4)c5ccc(cc5)C6(N)CCC6	5.28
CHEMBL402579	Cc1nc2ccccc2n1C3CCN(Cc4ccc(cc4)c5nc6ncnc(N)c6cc5c7ccccc7)CC3	6.55
CHEMBL3672045	Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(c(C)n2n1)c7ccccc7	7.77
CHEMBL3672047	Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(c(NC7CCC7)n2n1)c8ccccc8	6.43
CHEMBL3672027	Cc1nc2nc(c3ccc(CN4CC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2c1Br)c7ccccc7	8.4
CHEMBL3667042	Cc1nc2nc(c3ccc(CN4CC(C4)c5nnc([nH]5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	7.19
CHEMBL3672024	Cc1nc2nc(c3ccc(CN4CCC(C4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7ccccc7	6.36
CHEMBL3672025	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5cnc6ccccc6n5)cc3)c(cn2n1)c7ccccc7	5
CHEMBL3672054	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cc(Cl)ccn6)cc3)c(cn2n1)c7ccc(F)cc7F	7.01
CHEMBL3672093	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7cc(F)ccc7F	6.81
CHEMBL3672053	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6ccccn6)cc3)c(cn2n1)c7cccc(F)c7	6.89
CHEMBL3672056	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5n[nH]c(n5)c6cnccn6)cc3)c(cn2n1)c7ccc(F)cc7F	5.96
CHEMBL3672020	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5nc6ccc(cc6[nH]5)C#N)cc3)c(cn2n1)c7ccccc7	6
CHEMBL3672021	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5nc6ccc(cc6[nH]5)C(F)(F)F)cc3)c(cn2n1)c7ccccc7	5.6
CHEMBL3672014	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5nc6ccc(F)cc6[nH]5)cc3)c(cn2n1)c7ccccc7	6.64
CHEMBL3672023	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5nc6cccnc6[nH]5)cc3)c(cn2n1)c7ccccc7	6.12
CHEMBL3672015	Cc1nc2nc(c3ccc(CN4CCC(CC4)c5nc6ccncc6[nH]5)cc3)c(cn2n1)c7ccccc7	5.23
CHEMBL3672022	Cc1nc2nc(c3ccc(CN4CCC(CC4)n5ncc6c(N)ncnc56)cc3)c(cn2n1)c7ccccc7	6.38
CHEMBL445464	Cc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	7.84
CHEMBL594072	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c([nH]c4ccccc34)C(=O)N)cc2c5cnc6[nH]nc(C)c6n5	7.82
CHEMBL605410	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(C#N)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5	8.15
CHEMBL593813	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c(Cl)[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5	7.92
CHEMBL595459	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cc6c(C)n[nH]c6cn5	7.89
CHEMBL593374	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5ccc6[nH]nc(C)c6c5	7.82
CHEMBL593375	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6c5	7.82
CHEMBL595944	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5	7.72
CHEMBL594755	Cc1occc1c2nc(N)c(OC[C@@H](N)Cc3ccccc3)cc2c4cnc5[nH]nc(C)c5n4	6.89
CHEMBL596583	Cc1occc1c2ncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)cc2c5cnc6[nH]nc(C)c6n5	7.6
CHEMBL3703160	CCC(=O)CCc1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	5.88
CHEMBL3143721	CCC(C)C1=NC(=C(NC1=O)c2ccc(CN3CCC(CC3)N4C(=O)Nc5ccccc45)cc2)c6ccccc6	5.34
CHEMBL2325982	CCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4	7.64
CHEMBL3701746	CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5cnccc5OCn4c3c6ccccc6	9.11
CHEMBL3701745	CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5ncccc5OCn4c3c6ccccc6	8.34
CHEMBL3701757	CCC1(O)CC(N)(C1)c2ccc(cc2)c3nc4c5nccnc5OCn4c3c6ccccc6	8.15
CHEMBL3672514	CCc1c(C)nc2cc(c3ccccc3)c(nn12)c4ccc(cc4)C5(N)CCC5	4.7
CHEMBL1171647	CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12	8.05
CHEMBL3703138	CCc1cc(OC)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	7.3
CHEMBL3699715	CCc1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.72
CHEMBL3699699	CCc1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	7.28
CHEMBL3895917	CCc1cn2c(c3ccccc3)c(nc2c(OC)n1)c4ccc(cc4)C5(N)CCC5	7.47
CHEMBL3699710	CCc1cnc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.79
CHEMBL3672042	CCc1cnn2cc(c3ccccc3)c(nc12)c4ccc(CN5CC(C5)c6n[nH]c(n6)c7cccc(C)n7)cc4	7.72
CHEMBL2012701	CCc1n[nH]c2ncnc(N3CCN(CC3)c4cc(Cl)cc(NCCN(C)C)c4C)c12	5.52
CHEMBL3699682	CCCOc1ccn2c(c3ccccc3)c(nc2n1)c4ccc(cc4)C5(N)CCC5	6.83
CHEMBL270444	CCN(CC)CCNC(=O)c1ccc2nc(c3ccc(CN4CCC(CC4)N5C(=O)Nc6ccccc56)cc3)c(nc2c1)c7ccccc7	6.45
CHEMBL258696	CCN(CC)CCNC(=O)c1ccc2nc(c3ccccc3)c(nc2c1)c4ccc(CN5CCC(CC5)N6C(=O)Nc7ccccc67)cc4	6.67
CHEMBL1097974	CCn1c(nc2c(nc(CCCN)cc12)C#CC(C)(C)O)c3nonc3N	7.4
CHEMBL1095624	CCn1c(nc2c(nc(CCN)cc12)C#CC(C)(C)O)c3nonc3N	7.6
CHEMBL1099290	CCn1c(nc2c(nc(CN(C)C)cc12)C#CC(C)(C)O)c3nonc3N	7.6
CHEMBL1098241	CCn1c(nc2c(nc(CN)cc12)C#CC(C)(C)O)c3nonc3N	7.2
CHEMBL1096290	CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)c4nonc4N	6.7
CHEMBL1098316	CCn1c(nc2c(nc(CNC)cc12)C#CC(C)(C)O)c3nonc3N	7.8
CHEMBL1099297	CCn1c(nc2c(nc(O[C@@H](CCN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.8
CHEMBL1099276	CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.6
CHEMBL1099298	CCn1c(nc2c(nc(O[C@H](CCN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.3
CHEMBL1099296	CCn1c(nc2c(nc(O[C@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.6
CHEMBL1098944	CCn1c(nc2c(nc(OC[C@@H](C)N)cc12)C#CC(C)(C)O)c3nonc3N	7.3
CHEMBL1096626	CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.7
CHEMBL1098939	CCn1c(nc2c(nc(OC[C@@H](N)Cc3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.7
CHEMBL1099281	CCn1c(nc2c(nc(OC[C@H](C)N)cc12)C#CC(C)(C)O)c3nonc3N	7.2
CHEMBL1096634	CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	7.7
CHEMBL1098938	CCn1c(nc2c(nc(OC[C@H](N)Cc3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N	8
CHEMBL1096636	CCn1c(nc2c(nc(OCCCCN)cc12)C#CC(C)(C)O)c3nonc3N	6.5
CHEMBL1096292	CCn1c(nc2c(nc(OCCCN)cc12)C#CC(C)(C)O)c3nonc3N	6.7
CHEMBL1096291	CCn1c(nc2c(nc(OCCN)cc12)C#CC(C)(C)O)c3nonc3N	7.4
CHEMBL1098943	CCn1c(nc2c(nc(OCCNC)cc12)C#CC(C)(C)O)c3nonc3N	7.1
CHEMBL521642	CCn1c(nc2c(ncc(OC[C@@H]3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N	7.89
CHEMBL494089	CCn1c(nc2c(ncc(OC[C@H]3CCCNC3)c12)C#CC(C)(C)O)c4nonc4N	7.89
CHEMBL1794066	CCn1c(nc2c(ncc(OC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	8.1
CHEMBL523859	CCn1c(nc2c(ncc(OCC[C@@H](N)Cc3ccccc3)c12)C#CC(C)(C)O)c4nonc4N	8.4
CHEMBL494088	CCn1c(nc2c(ncc(OCC3CCNC3)c12)C#CC(C)(C)O)c4nonc4N	7.89
CHEMBL1794065	CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	8.1
CHEMBL493269	CCn1c(nc2c(ncc(OCCCCN)c12)C#CC(C)(C)O)c3nonc3N	8.05
CHEMBL522351	CCn1c(nc2c(ncc(OCCCNC[C@H](O)CO)c12)C#CC(C)(C)O)c3nonc3N	8.3
CHEMBL494060	CCn1c(nc2c(ncc(OCCCNCCc3ccc(OC)cc3)c12)C#CC(C)(C)O)c4nonc4N	8.22
CHEMBL453510	CCn1c(nc2c(ncc(OCCN)c12)C#CC(C)(C)O)c3nonc3N	7.7
CHEMBL220241	CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N	5.87
CHEMBL523695	CCn1c(nc2cncc(C(=O)N3CC[C@@H](N)C3)c12)c4nonc4N	5.63
CHEMBL1956071	CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N	5.71
CHEMBL493066	CCn1c(nc2cncc(C(=O)N3CCNCC3)c12)c4nonc4N	5.6
CHEMBL493067	CCn1c(nc2cncc(C(=O)NC3CCCNC3)c12)c4nonc4N	5
CHEMBL494662	CCn1c(nc2cncc(C(=O)NC3CCNCC3)c12)c4nonc4N	5.59
CHEMBL506153	CCn1c(nc2cncc(C(=O)NCCNC)c12)c3nonc3N	5.4
CHEMBL188434	CCn1c(nc2cncc(CNC3CCNCC3)c12)c4nonc4N	6.13
CHEMBL493911	CCn1c(nc2cncc(OC3CCNCC3)c12)c4nonc4N	6
CHEMBL521823	CCn1c(nc2cncc(OCC3CCNCC3)c12)c4nonc4N	6.69
CHEMBL3699738	CCNC(=O)c1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.81
CHEMBL3701769	CCNC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1	9.51
CHEMBL3703118	CCNC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	7.34
CHEMBL252652	CCNC(=O)NC1CCN(Cc2ccc(cc2)c3nc4nc(SC)ncc4cc3c5ccccc5)CC1	5.72
CHEMBL593573	CCNc1nc(c2cocc2)c(cc1OC[C@@H](N)Cc3ccccc3)c4cnc5[nH]nc(C)c5n4	5.2
CHEMBL3699753	CCOC(=O)c1cc(Br)c2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.99
CHEMBL3703134	CCOC(=O)c1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.85
CHEMBL3699719	CCOC(=O)c1cccn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	6.63
CHEMBL3703112	CCOC(=O)c1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	7.66
CHEMBL3968885	CCOC(=O)c1cn2c(c3ccccc3)c(nc2cn1)c4ccc(cc4)C5(N)CCC5	6.89
CHEMBL3672498	CCOC(=O)c1cncc(c1)c2cnc3cc(c4ccccc4)c(nn23)c5ccc(cc5)C6(N)CCC6	6.96
CHEMBL3703102	CCOc1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	7.16
CHEMBL3701739	CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c12	8.74
CHEMBL3701738	CCOc1cccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(O)(C5)C6CC6)c3c7ccccc7)c12	8.77
CHEMBL3699698	CCOc1cccn2c(c3ccccc3)c(nc12)c4ccc(cc4)C5(N)CCC5	6.97
CHEMBL3699671	CCOc1cnc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	6.48
CHEMBL3701773	CCONC(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	9.28
CHEMBL3701775	CCONC(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1	9.4
CHEMBL1315166	Cl.Cl.Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.23
CHEMBL428462	Clc1ccc(cc1)C2(CCNCC2)c3ccc(cc3)c4cn[nH]c4	4.75
CHEMBL228133	Clc1ccc(cc1)C2(CCNCC2)c3ccc(cc3)c4ncnc5[nH]cnc45	7.7
CHEMBL227381	Clc1ccc(COCCNCCNS(=O)(=O)c2cccc3cnccc23)cc1	6.58
CHEMBL3667044	Clc1cnc2nc(c3ccc(CN4CC(C4)c5nnc([nH]5)c6ccccn6)cc3)c(cn12)c7ccccc7	7.96
CHEMBL270388	Clc1nc(c2ccc(CN3CCC(CC3)N4C(=O)Nc5ccccc45)cc2)c(cc1C#N)c6ccccc6	5.13
CHEMBL508861	ClCc1nnc2c3cc(c4ccccc4)c(nc3ccn12)c5ccc(CN6CCC(CC6)c7n[nH]c(n7)c8ccccn8)cc5	7.98
CHEMBL3701771	CN(C)C(=O)c1ccc2c(OCn3c2nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c1	8.46
CHEMBL3699737	CN(C)C(=O)c1ccc2nc(c3ccc(cc3)C4(N)CCC4)c(c5ccccc5)n2c1	5.83
CHEMBL3701768	CN(C)C(=O)c1ccc2OCn3c(nc(c4ccc(cc4)C5(N)CC(C)(O)C5)c3c6ccccc6)c2c1	8.89
CHEMBL3703163	CN(C)C(=O)COc1ccn2c(c3ccccc3)c(nc2c1)c4ccc(cc4)C5(N)CCC5	7.01
CHEMBL447348	CN(C)C(=O)N1CCN(CC1)c2ncc3cc(c4ccccc4)c(nc3n2)c5ccc(CN6CCC(CC6)c7nnc([nH]7)c8ccccn8)cc5	7.4
